function	occ	token	site	via	code	disposition	reason
anonymize_video_batch	14	check_number_whole	ffmpeg.R:1973	anonymize_video_batch	rlang::check_number_whole(audio_stream, min = 0, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
anonymize_video_batch	15	check_batch_inputs	ffmpeg.R:1978	anonymize_video_batch	check_batch_inputs(jobs)	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
anonymize_video_batch	16	check_batch_cell	ffmpeg.R:1993	anonymize_video_batch	check_batch_cell(i, check_regions(jobs$regions[[i]]))	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
anonymize_video_batch	17	check_regions	ffmpeg.R:1993	anonymize_video_batch	check_batch_cell(i, check_regions(jobs$regions[[i]]))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
anonymize_video_batch	18	check_batch_cell	ffmpeg.R:1999	anonymize_video_batch	check_batch_cell(i, check_region_values(jobs$regions[[i]]))	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
anonymize_video_batch	19	check_region_values	ffmpeg.R:1999	anonymize_video_batch	check_batch_cell(i, check_region_values(jobs$regions[[i]]))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
anonymize_video_batch	20	check_nvenc_available	ffmpeg.R:2007	anonymize_video_batch	check_nvenc_available(batch_video_codecs(jobs, video_codec), hardware,	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
apply_audio_codec	1	check_token	ffmpeg.R:2685	normalize_audio_batch	check_token(audio_codec, call = call)	excluded-backstop	pipeline/builder backstop re-check: the front-door sweep reports first (M65/D042)
assemble_measured	1	cli_abort	loudnorm_two_pass.R:228	normalize_audio_batch	cli::cli_abort(c(	already-located	already names rows (check_batch_stream_values / assemble_measured, M45 F4)
audio_stream_map	1	check_number_whole	ffmpeg.R:277	normalize_audio_batch	rlang::check_number_whole(audio_stream, min = 0, allow_null = TRUE,	excluded-backstop	pipeline/builder backstop re-check: the front-door sweep reports first (M65/D042)
check_audio_codec_needs_audio	1	cli_abort	ffmpeg.R:2799	compare_videos_batch,picture_in_picture_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_audio_codec_needs_reencode	1	cli_abort	ffmpeg.R:2770	segment_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_audio_codec_not_copy	1	cli_abort	ffmpeg.R:2210	normalize_audio_batch	cli::cli_abort(c(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_batch_audio_col	1	cli_abort	ffmpeg.R:4715	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	cli::cli_abort(	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
check_batch_cell	1	stop	utils.R:351	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,extract_frame_batch,normalize_audio_batch,picture_in_picture_batch,sample_frames_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	stop(cnd)	excluded-internal	the locator mechanism's own re-raise, not a refusal site
check_batch_codec_col	1	cli_abort	ffmpeg.R:4620	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	cli::cli_abort(	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
check_batch_codec_col	2	check_batch_cell	ffmpeg.R:4640	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	check_batch_cell(i, check_token(jobs[[col]][[i]], arg = col, call = call))	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
check_batch_codec_col	3	check_token	ffmpeg.R:4640	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	check_batch_cell(i, check_token(jobs[[col]][[i]], arg = col, call = call))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
check_batch_inputs	1	check_paths_readable	ffmpeg.R:4579	anonymize_video_batch,compare_videos_batch,concatenate_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,extract_frame_batch,format_for_web_batch,normalize_audio_batch,picture_in_picture_batch,sample_frames_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch,strip_metadata_batch	check_paths_readable(paths, arg = paste0("jobs$", col), multiple = TRUE,	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
check_batch_jobs	1	cli_abort	ffmpeg.R:4511	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort("{.arg jobs} must be a data frame with one row per input.", call 	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_jobs	2	cli_abort	ffmpeg.R:4514	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort("{.arg jobs} must have at least one row.", call = call)	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_jobs	3	cli_abort	ffmpeg.R:4517	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_jobs	4	cli_abort	ffmpeg.R:4524	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort("The {.field input} column of {.arg jobs} must not contain {.val 	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_jobs	5	cli_abort	ffmpeg.R:4528	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_jobs	6	cli_abort	ffmpeg.R:4537	convert_audio_batch,crop_video_batch,extract_audio_batch,format_for_web_batch,separate_audio_video_batch	cli::cli_abort("The {.field output} column of {.arg jobs} must not contain {.val	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_batch_stream_values	1	check_number_whole	ffmpeg.R:4739	normalize_audio_batch,separate_audio_video_batch	rlang::check_number_whole(vals[[i]], min = 0)	already-located	already names rows (check_batch_stream_values / assemble_measured, M45 F4)
check_batch_stream_values	2	cli_abort	ffmpeg.R:4744	normalize_audio_batch,separate_audio_video_batch	cli::cli_abort(	already-located	already names rows (check_batch_stream_values / assemble_measured, M45 F4)
check_batch_string_col	1	cli_abort	ffmpeg.R:4769	compare_videos_batch,picture_in_picture_batch	cli::cli_abort(	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
check_batch_vocab_col	1	check_batch_cell	ffmpeg.R:4792	compare_videos_batch,picture_in_picture_batch	check_batch_cell(if (col %in% names(jobs)) i else NA_integer_,	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
check_batch_vocab_col	2	check_vocab_arg	ffmpeg.R:4793	compare_videos_batch,picture_in_picture_batch	check_vocab_arg(rows[[i]], values, col, call = call))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
check_codec_needs_reencode	1	cli_abort	ffmpeg.R:2749	segment_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_dim	1	cli_abort	utils.R:213	anonymize_video_batch,crop_video_batch,standardize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_fanin_jobs	1	cli_abort	ffmpeg.R:4807	compare_videos_batch,concatenate_videos_batch	cli::cli_abort("{.arg jobs} must be a data frame with one row per output.", call	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	2	cli_abort	ffmpeg.R:4810	compare_videos_batch,concatenate_videos_batch	cli::cli_abort("{.arg jobs} must have at least one row.", call = call)	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	3	cli_abort	ffmpeg.R:4813	compare_videos_batch,concatenate_videos_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	4	cli_abort	ffmpeg.R:4820	compare_videos_batch,concatenate_videos_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	5	cli_abort	ffmpeg.R:4827	compare_videos_batch,concatenate_videos_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	6	cli_abort	ffmpeg.R:4843	compare_videos_batch,concatenate_videos_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_fanin_jobs	7	cli_abort	ffmpeg.R:4851	compare_videos_batch,concatenate_videos_batch	cli::cli_abort("The {.field output} column of {.arg jobs} must not contain {.val	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
check_ffm	1	cli_abort	ffm_oop.R:102	normalize_audio_batch	cli::cli_abort(	excluded-internal	internal helper not refusing a jobs cell
check_hardware_needs_encode	1	cli_abort	ffmpeg.R:2724	separate_audio_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_image_format	1	check_string	ffmpeg.R:219	sample_frames_batch	rlang::check_string(format, arg = arg, call = call)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
check_image_format	2	cli_abort	ffmpeg.R:223	sample_frames_batch	cli::cli_abort(	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
check_loudnorm_targets	1	check_number_decimal	utils.R:280	normalize_audio_batch	rlang::check_number_decimal(target_loudness,	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_loudnorm_targets	2	check_number_decimal	utils.R:284	normalize_audio_batch	rlang::check_number_decimal(true_peak,	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_loudnorm_targets	3	check_number_decimal	utils.R:288	normalize_audio_batch	rlang::check_number_decimal(loudness_range,	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_nvenc_available	1	check_bool	ffmpeg.R:2627	anonymize_video_batch,compare_videos_batch,crop_video_batch,format_for_web_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	rlang::check_bool(fallback, call = call)	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
check_nvenc_available	2	cli_abort	ffmpeg.R:2641	anonymize_video_batch,compare_videos_batch,crop_video_batch,format_for_web_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	cli::cli_abort(	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
check_overlay_scale	1	cli_abort	utils.R:264	picture_in_picture_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_paths_readable	1	cli_abort	utils.R:88	anonymize_video_batch,compare_videos_batch,concatenate_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,extract_frame_batch,format_for_web_batch,normalize_audio_batch,picture_in_picture_batch,sample_frames_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch,strip_metadata_batch	cli::cli_abort("{.arg {arg}} can't be found or read: {.file {bad}}.",	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
check_paths_readable	2	cli_abort	utils.R:91	anonymize_video_batch,compare_videos_batch,concatenate_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,extract_frame_batch,format_for_web_batch,normalize_audio_batch,picture_in_picture_batch,sample_frames_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch,strip_metadata_batch	cli::cli_abort(c(	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
check_region_values	1	check_dim	utils.R:307	anonymize_video_batch	check_dim(value, inclusive = field %in% c("x", "y"),	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	1	cli_abort	ffmpeg.R:1699	anonymize_video_batch	cli::cli_abort("{.arg regions} must be a data frame with one row per box.",	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	2	cli_abort	ffmpeg.R:1703	anonymize_video_batch	cli::cli_abort("{.arg regions} must have at least one row.", call = call)	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	3	cli_abort	ffmpeg.R:1708	anonymize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	4	cli_abort	ffmpeg.R:1719	anonymize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	5	cli_abort	ffmpeg.R:1725	anonymize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_regions	6	cli_abort	ffmpeg.R:1734	anonymize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_resize_needs_two_inputs	1	cli_abort	ffmpeg.R:2819	compare_videos_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_token	1	check_string	utils.R:157	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	rlang::check_string(x, arg = arg, allow_null = allow_null, call = call)	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_token	2	cli_abort	utils.R:162	anonymize_video_batch,compare_videos_batch,convert_audio_batch,crop_video_batch,extract_audio_batch,normalize_audio_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	cli::cli_abort(	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
check_vocab_arg	1	arg_match	ffmpeg.R:2878	compare_videos_batch,picture_in_picture_batch	rlang::arg_match(value, values, error_arg = arg, error_call = call)	excluded-wording	checker-internal wording site: locator appended at swept call sites, wording unchanged (D042)
codec_family	1	cli_abort	ffmpeg.R:2533	anonymize_video_batch,compare_videos_batch,crop_video_batch,format_for_web_batch,picture_in_picture_batch,segment_video_batch,separate_audio_video_batch,standardize_video_batch	cli::cli_abort(	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
compare_videos_batch	1	check_bool	ffmpeg.R:6274	compare_videos_batch	rlang::check_bool(resize)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	2	check_token	ffmpeg.R:6275	compare_videos_batch	check_token(video_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	3	check_token	ffmpeg.R:6276	compare_videos_batch	check_token(audio_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	4	arg_match	ffmpeg.R:6277	compare_videos_batch	hardware <- rlang::arg_match(hardware)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	5	check_fanin_jobs	ffmpeg.R:6279	compare_videos_batch	jobs <- check_fanin_jobs(jobs, min_inputs = 2L, verb = "Comparison")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
compare_videos_batch	6	check_batch_string_col	ffmpeg.R:6285	compare_videos_batch	check_batch_string_col(jobs, "direction")	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
compare_videos_batch	7	check_batch_audio_col	ffmpeg.R:6286	compare_videos_batch	check_batch_audio_col(jobs)	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
compare_videos_batch	8	check_batch_codec_col	ffmpeg.R:6287	compare_videos_batch	check_batch_codec_col(jobs)	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
compare_videos_batch	9	check_batch_codec_col	ffmpeg.R:6288	compare_videos_batch	check_batch_codec_col(jobs, "audio_codec")	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
compare_videos_batch	10	cli_abort	ffmpeg.R:6291	compare_videos_batch	cli::cli_abort(	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
compare_videos_batch	11	check_batch_inputs	ffmpeg.R:6299	compare_videos_batch	check_batch_inputs(jobs, "inputs")	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
compare_videos_batch	12	check_batch_cell	ffmpeg.R:6316	compare_videos_batch	check_batch_cell(	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
compare_videos_batch	13	check_audio_codec_needs_audio	ffmpeg.R:6318	compare_videos_batch	check_audio_codec_needs_audio(	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
compare_videos_batch	14	check_batch_cell	ffmpeg.R:6327	compare_videos_batch	check_batch_cell(	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
compare_videos_batch	15	check_resize_needs_two_inputs	ffmpeg.R:6329	compare_videos_batch	check_resize_needs_two_inputs(resize_rows[[i]], length(jobs$inputs[[i]]))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
compare_videos_batch	16	check_vocab_arg	ffmpeg.R:6339	compare_videos_batch	direction <- check_vocab_arg(direction, stack_directions(), "direction")	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	17	check_batch_vocab_col	ffmpeg.R:6346	compare_videos_batch	check_batch_vocab_col(jobs, "direction", direction, stack_directions())	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
compare_videos_batch	18	check_number_whole	ffmpeg.R:6361	compare_videos_batch	rlang::check_number_whole(audio, min = 0, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
compare_videos_batch	19	check_batch_cell	ffmpeg.R:6367	compare_videos_batch	check_batch_cell(	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
compare_videos_batch	20	check_number_whole	ffmpeg.R:6369	compare_videos_batch	rlang::check_number_whole(audio_rows[[i]], min = 0,	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
compare_videos_batch	21	check_nvenc_available	ffmpeg.R:6381	compare_videos_batch	check_nvenc_available(batch_video_codecs(jobs, video_codec), hardware,	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
concatenate_videos_batch	1	check_fanin_jobs	ffmpeg.R:6168	concatenate_videos_batch	jobs <- check_fanin_jobs(jobs, verb = "Concatenation")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
concatenate_videos_batch	2	check_batch_inputs	ffmpeg.R:6174	concatenate_videos_batch	check_batch_inputs(jobs, "inputs")	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
convert_audio_batch	1	check_batch_jobs	ffmpeg.R:5042	convert_audio_batch	jobs <- check_batch_jobs(jobs, require_output = TRUE, verb = "Audio conversion")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
convert_audio_batch	2	cli_abort	ffmpeg.R:5057	convert_audio_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
convert_audio_batch	3	check_batch_codec_col	ffmpeg.R:5070	convert_audio_batch	check_batch_codec_col(jobs, "audio_codec",	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
convert_audio_batch	4	check_token	ffmpeg.R:5077	convert_audio_batch	if (!is.null(audio_codec)) check_token(audio_codec)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
convert_audio_batch	5	check_batch_audio_col	ffmpeg.R:5081	convert_audio_batch	check_batch_audio_col(jobs, "audio_stream",	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
convert_audio_batch	6	check_number_whole	ffmpeg.R:5087	convert_audio_batch	rlang::check_number_whole(audio_stream, min = 0, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
convert_audio_batch	7	check_batch_inputs	ffmpeg.R:5092	convert_audio_batch	check_batch_inputs(jobs)	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
crop_video_batch	1	check_token	ffmpeg.R:5221	crop_video_batch	check_token(video_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
crop_video_batch	2	check_token	ffmpeg.R:5222	crop_video_batch	check_token(audio_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
crop_video_batch	3	arg_match	ffmpeg.R:5223	crop_video_batch	hardware <- rlang::arg_match(hardware)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
crop_video_batch	4	check_batch_jobs	ffmpeg.R:5225	crop_video_batch	jobs <- check_batch_jobs(jobs, require_output = FALSE)	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
crop_video_batch	5	cli_abort	ffmpeg.R:5232	crop_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
crop_video_batch	6	cli_abort	ffmpeg.R:5243	crop_video_batch	cli::cli_abort("The {.field {col}} column of {.arg jobs} must be numeric or char	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
crop_video_batch	7	cli_abort	ffmpeg.R:5246	crop_video_batch	cli::cli_abort("The {.field {col}} column of {.arg jobs} must not contain {.val 	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
crop_video_batch	8	check_batch_codec_col	ffmpeg.R:5249	crop_video_batch	check_batch_codec_col(jobs)	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
crop_video_batch	9	check_batch_codec_col	ffmpeg.R:5250	crop_video_batch	check_batch_codec_col(jobs, "audio_codec")	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
crop_video_batch	10	check_batch_audio_col	ffmpeg.R:5253	crop_video_batch	check_batch_audio_col(jobs, "audio_stream",	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
crop_video_batch	11	check_number_whole	ffmpeg.R:5255	crop_video_batch	rlang::check_number_whole(audio_stream, min = 0, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
crop_video_batch	12	check_batch_inputs	ffmpeg.R:5265	crop_video_batch	check_batch_inputs(jobs)	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
crop_video_batch	13	check_batch_cell	ffmpeg.R:5281	crop_video_batch	check_batch_cell(if (dim %in% names(jobs)) i else NA_integer_,	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
crop_video_batch	14	check_dim	ffmpeg.R:5282	crop_video_batch	check_dim(rows[[i]], arg = dim))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
crop_video_batch	15	check_batch_cell	ffmpeg.R:5288	crop_video_batch	check_batch_cell(if (dim %in% names(jobs)) i else NA_integer_,	swept	per-row sweep wrapper: the row-index pass is the mutable site (AC4)
crop_video_batch	16	check_dim	ffmpeg.R:5289	crop_video_batch	check_dim(rows[[i]], arg = dim, inclusive = TRUE))	swept-inner	checker call inside a check_batch_cell() wrapper; the wrapper row is the mutable site
crop_video_batch	17	check_nvenc_available	ffmpeg.R:5298	crop_video_batch	check_nvenc_available(batch_video_codecs(jobs, video_codec), hardware,	excluded-probe	machine/dependency probe, not a jobs-cell refusal (D035/D036 family)
extract_audio_batch	1	check_batch_jobs	ffmpeg.R:4920	extract_audio_batch	jobs <- check_batch_jobs(jobs, require_output = TRUE, verb = "Audio extraction")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
extract_audio_batch	2	check_batch_codec_col	ffmpeg.R:4926	extract_audio_batch	check_batch_codec_col(jobs, "audio_codec")	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
extract_audio_batch	3	check_token	ffmpeg.R:4936	extract_audio_batch	check_token(audio_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
extract_audio_batch	4	check_batch_audio_col	ffmpeg.R:4940	extract_audio_batch	check_batch_audio_col(jobs, "audio_stream",	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
extract_audio_batch	5	check_number_whole	ffmpeg.R:4946	extract_audio_batch	rlang::check_number_whole(audio_stream, min = 0, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
extract_audio_batch	6	check_batch_inputs	ffmpeg.R:4951	extract_audio_batch	check_batch_inputs(jobs)	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
